[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],
[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],
[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1],
[14,7,7,7,7,6,1,0,0,2,0,1,1,5,5,5,5,5,5,14,10,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,0,1,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,0,1,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,0,1,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,0,1,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,0,1,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,0,1,5,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,14,1,1,5,5,5,5,5,5,1,1,0,0,0,0,0,0,0,1,0,0,1],
[6,7,7,7,7,6,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1],
[6,7,7,7,7,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1],
[1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1],
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],
[1,0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,10,14,1,13,0,0,0,0,0,13],
[1,0,8,0,8,0,8,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,13],
[1,0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,13],
[1,0,8,0,8,0,8,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,13],
[1,0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,13],
[1,0,8,0,8,0,8,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,13],
[1,0,0,0,0,0,0,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,1,1,1,13,0,0,0,0,0,13],
[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1],
